sourceid_uber,name,image_url,Coke_shows,city,food_type,Coke_in_Menu
a197a735-a30d-4ff6-af21-752409e53069,None,https://d1ralsognjng37.cloudfront.net/258f55c2-e331-4d3a-9cb3-2a9563bb3583,Coke,None,None,None
3e7e5339-6489-4dd0-8d37-8c37c3d0798d,None,https://d1ralsognjng37.cloudfront.net/5d6bb90b-7f35-49f9-a475-dfc5cba10a48,Coke,Melbourne,American,coke
5ee245c3-d18b-41e5-9145-03441ca3db8a,None,https://d1ralsognjng37.cloudfront.net/4fe3e92c-0d49-4125-af51-a98b25732885,Coke,None,None,None
4d84a6e7-c8dd-4428-b124-e21706e8940f,None,https://duyt4h9nfnj50.cloudfront.net/sku/a0c7b49209b0200fa9645da6994a17b9,Coke,None,None,None
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/6e179235-5dc4-4b5b-8155-1016acce740f,Coke,Christchurch,American,coke
ab6dfe89-1ff1-4a0f-8a3a-75e1e711a002,None,https://duyt4h9nfnj50.cloudfront.net/sku/40153c1c114c8ff8707299089a5f956d,Coke,None,None,None
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/9eaf3fa5-3ac7-445e-96d7-8efde19b628e,Coke,Christchurch,American,coke
8b87a1c8-adbc-4a50-b7f1-2e23f18fdbe7,None,https://duyt4h9nfnj50.cloudfront.net/sku/cd102501128ddc19442f28f779ce429d,Coke,None,None,None
683bc2f2-252b-43df-a0f6-0c3245c7ac6b,None,https://duyt4h9nfnj50.cloudfront.net/sku/56de794cadcb3b013cbaa48cb10ff578,Coke,None,None,None
bbbd6c98-7ecc-441e-8d99-e99b7ea89f03,None,https://duyt4h9nfnj50.cloudfront.net/sku/852c23b559c1671dd1528b7476717a7d,Coke,None,None,None
a67f6342-81b5-4903-8c03-6731bcd8e044,None,https://duyt4h9nfnj50.cloudfront.net/sku/e1eb2eefc26c5f9885f695f5bbc64b81,Coke,Perth,Sandwiches,coke
45eef775-fe7b-483d-bba7-31e2d7b20ce9,None,https://duyt4h9nfnj50.cloudfront.net/sku/6d4f89d5df588010deb4d58dfb9237ee,Coke,None,None,None
54779a25-1170-4132-841d-9f265a07762d,None,https://duyt4h9nfnj50.cloudfront.net/sku/d837a981332523ad9c998210b767487e,Coke,None,None,None
6f662418-517d-4b29-99f1-f22ee6624f3d,None,https://d1ralsognjng37.cloudfront.net/641efdb4-db33-436b-aa3f-77746336c0ef,Coke,None,None,None
41038397-664a-4bcd-ac24-a6758175f7a0,None,https://d2f4h6un6ehgr5.cloudfront.net/UE-3814_GMA.png,Coke,Melbourne,American,coke
efddf9d7-6b51-4327-87f9-e9a0b4c10d54,None,https://duyt4h9nfnj50.cloudfront.net/sku/b966d56e10ad8571fa0522dcd08e91c6,Coke,None,None,None
25cdb5d5-615d-48b2-8662-653a2e7dbd06,None,https://d1ralsognjng37.cloudfront.net/73f7d275-720f-4810-a88b-3f154afd2956,Coke,None,None,None
41038397-664a-4bcd-ac24-a6758175f7a0,None,https://d2f4h6un6ehgr5.cloudfront.net/UE-2155_GMA.png,Coke,Melbourne,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/82fa1697-4497-4224-9905-97691f15b57a,Coke,Christchurch,American,coke
96191a1a-d172-4b59-bd75-dbb547c98222,None,https://d303h3uj89fskf.cloudfront.net/UE-70_GMA.png,Coke,Christchurch,American,not-coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/ba90641b-4488-474c-b7d8-5aed0856b69d,Coke,Christchurch,American,coke
fb040f3b-4ef0-4011-8b50-f296f175eb21,None,https://duyt4h9nfnj50.cloudfront.net/sku/7791f7ce470864c80c3823021ecc5096,Coke,None,None,None
bb2acdf7-b9f7-4d2a-b803-5509702fa73d,None,https://d1ralsognjng37.cloudfront.net/e3a898e7-c8df-4427-95d2-700c3c00e38d,Coke,Christchurch,Italian,coke
7e7e8e7a-ec65-43f3-8bd6-99a84f09849e,None,https://duyt4h9nfnj50.cloudfront.net/sku/c737eb19794be0245a75cc91e0c0a4be,Coke,None,None,None
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/2bbbf4ba-7892-4230-b653-861bc4a01840,Coke,Christchurch,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/285ec0ed-e212-4e72-8bb8-5c7bbb4d7274,Coke,Christchurch,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/42d57a0c-23f9-42c2-b4d9-0dc4a86b83ce,Coke,Christchurch,American,coke
2a13badb-49a1-4e7a-bf3a-27f8ab3ba78b,None,https://duyt4h9nfnj50.cloudfront.net/sku/d68994148197a6b8c0f5276896002d97,Coke,None,None,None
2aae2b6b-9ba8-4412-86a4-3fde2a1e91f1,None,https://duyt4h9nfnj50.cloudfront.net/sku/6af01e16ee287dc8ba94a93b6768bd82,Coke,None,None,None
f9718615-0116-432e-beb7-263ba69c706e,None,https://d1ralsognjng37.cloudfront.net/c65e68b1-c9a6-4a3a-9e44-bc7ab8eb076d,Coke,Christchurch,Italian,coke
80063dfc-696a-4ce6-a0a9-8fa18c0c6977,None,https://duyt4h9nfnj50.cloudfront.net/sku/dfb64d9cc92466649f1a0b05d19cb2ab,Coke,Southbank,Cafe,not-coke
6c87a2b1-0bc2-42fd-adf7-bc9637d09021,None,https://d1ralsognjng37.cloudfront.net/ec64103d-c2d7-4b73-bc0e-bd8bbe8dc2db,Coke,None,None,None
80e9b00e-e78e-45c9-b20d-f17c8b072cbe,None,https://duyt4h9nfnj50.cloudfront.net/sku/a837357657f1a46f3fba9af676adb4af,Coke,None,None,None
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/029b8550-7f53-405a-b529-605507b48cda,Coke,Christchurch,American,coke
25cdb5d5-615d-48b2-8662-653a2e7dbd06,None,https://d1ralsognjng37.cloudfront.net/85ac186a-63a5-4805-9923-097cec3dd806,Coke,None,None,None
29a359ba-4ea6-442d-94a2-1e34d9282e63,None,https://duyt4h9nfnj50.cloudfront.net/sku/101657e49f90807ca381e6450edde83f,Coke,None,None,None
efddf9d7-6b51-4327-87f9-e9a0b4c10d54,None,https://duyt4h9nfnj50.cloudfront.net/sku/79d210d4168e19935f3269bd1e9dc75c,Coke,None,None,None
c84b3c30-994c-4048-a3d6-40d83a1e65bd,None,https://duyt4h9nfnj50.cloudfront.net/sku/d0e910d3ea667170e4244c8e80ff9095,Coke,Melbourne,Chinese,coke
54779a25-1170-4132-841d-9f265a07762d,None,https://duyt4h9nfnj50.cloudfront.net/sku/81d3e05a43b885e71c21cb23b9a59806,Coke,None,None,None
8b87a1c8-adbc-4a50-b7f1-2e23f18fdbe7,None,https://duyt4h9nfnj50.cloudfront.net/sku/6c0f9170527990e57c78228e4d885068,Coke,None,None,None
0462afc4-8c00-4ee5-a033-ec551c913694,None,https://duyt4h9nfnj50.cloudfront.net/sku/30838184ceed9cee60a1f39c971c942c,Coke,None,None,None
f9718615-0116-432e-beb7-263ba69c706e,None,https://d1ralsognjng37.cloudfront.net/6ae836a6-d46b-487e-bea1-9818444c4966,Coke,Christchurch,Italian,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/bfa5dda4-32c5-4d0b-8e5d-46b33c9ac9b6,Coke,Christchurch,American,coke
57ecc1e0-943d-417e-aeba-b13634434a23,None,https://d1ralsognjng37.cloudfront.net/65ba3a83-fab8-4b24-b9e8-aa1617eccbec,Coke,None,None,None
bb2acdf7-b9f7-4d2a-b803-5509702fa73d,None,https://d1ralsognjng37.cloudfront.net/8d933c4f-0873-4f0f-a077-1b1f8b6f86ba,Coke,Christchurch,Italian,coke
96191a1a-d172-4b59-bd75-dbb547c98222,None,https://d303h3uj89fskf.cloudfront.net/UE-942_GMA.png,Coke,Christchurch,American,not-coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/e088b81e-b087-43ff-8d29-f0dcaf0926d0,Coke,Christchurch,American,coke
41038397-664a-4bcd-ac24-a6758175f7a0,None,https://d2f4h6un6ehgr5.cloudfront.net/UE-1813_GMA.png,Coke,Melbourne,American,coke
bbbd6c98-7ecc-441e-8d99-e99b7ea89f03,None,https://duyt4h9nfnj50.cloudfront.net/sku/5cfe7fba24e1495c354fd0d107999777,Coke,None,None,None
a67f6342-81b5-4903-8c03-6731bcd8e044,None,https://duyt4h9nfnj50.cloudfront.net/sku/d5ad90e7ace35683ffd95fb6149aa95f,Coke,Perth,Sandwiches,coke
fe9dffe9-dd05-4547-89e5-1c1ed710fbab,None,https://d1ralsognjng37.cloudfront.net/ba1dd155-f0a0-49bd-84c8-5841314be8fe,Coke,Christchurch,American,coke
a67f6342-81b5-4903-8c03-6731bcd8e044,None,https://duyt4h9nfnj50.cloudfront.net/sku/ec8b74a8d8e04d30aedb4bfaedc622b0,Coke,Perth,Sandwiches,coke
0462afc4-8c00-4ee5-a033-ec551c913694,None,https://duyt4h9nfnj50.cloudfront.net/sku/9cc96cb30a233fbd691f3f438a6dd64a,Coke,None,None,None
25cdb5d5-615d-48b2-8662-653a2e7dbd06,None,https://d1ralsognjng37.cloudfront.net/a8a91626-6463-481c-9e25-a72e8ac25a84,Coke,None,None,None
